#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027),Category
1,intrinsic value,us,40,17000,0.05,0.32,intrinsic value,2026-03-11 16:20:42,"AI Overview,Video preview,Thumbnail,People also ask,Sitelinks,Top stories",48000,2000,4000,2015-09-01,"Informational,Non-branded,Non-local",English,"19934, 20370, 14931, 12881, 11356, 12739, 17238, 19018, 19607, 15826, 18466, 21654, 18665, 19068, 13999, 13915, 8901, 16878, 18184, 19703, 19627, 15785, 16723, 20520","19734, 21017, 17464, 14465, 13482, 14463, 18258, 19932, 19356, 17860, 16859, 20655, 19870",Finance/Investing; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources; Reference/Humanities/Philosophy
2,intrinsic value definition,us,32,3100,0.02,0.25,intrinsic value,2026-03-16 05:50:35,"AI Overview,Video preview,Thumbnail,People also ask,Sitelinks,Top stories",3300,2000,4000,2015-09-04,"Informational,Non-branded,Non-local",English,"3244, 3534, 2844, 2353, 2208, 2331, 3407, 3578, 3630, 3007, 2795, 3608, 3270, 3560, 2870, 2379, 2234, 2358, 3433, 3604, 3657, 3034, 2821, 3634","3296, 3586, 2896, 2406, 2261, 2384, 3459, 3631, 3683, 3060, 2847, 3661, 3322",Finance/Investing; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources; Reference/Humanities/Philosophy
3,what is intrinsic value,us,34,2700,0.02,0.42,intrinsic value,2026-03-11 13:49:11,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Top stories",5600,2000,4000,2015-09-07,"Informational,Non-branded,Non-local",English,"2715, 2953, 2325, 2038, 2010, 1999, 2485, 2932, 2845, 2667, 2309, 2831, 2849, 3154, 2526, 2239, 2211, 2200, 2686, 3133, 3046, 2868, 2510, 3032","3050, 3354, 2727, 2440, 2412, 2401, 2887, 3334, 3247, 3069, 2711, 3233, 3250",Finance/Investing
4,intrinsic value meaning,us,12,1100,0.02,0.42,intrinsic value,2026-03-07 12:42:24,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Top stories",9000,1900,5400,2015-10-13,"Informational,Non-branded,Non-local",English,"1353, 1147, 892, 879, 877, 903, 1396, 1377, 1358, 1331, 2000, 1357, 1092, 1310, 1100, 741, 600, 724, 1278, 1277, 1059, 1102, 1184, 1134","1072, 1064, 1005, 933, 930, 1014, 1252, 1220, 1161, 1173, 1252, 1201, 1140",Finance/Investing; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources
5,intrinsic value calculator,us,4,600,1.30,1.53,intrinsic value calculator,2026-03-12 03:00:21,"People also ask,Sitelinks,Video preview",3300,700,3300,2015-09-09,"Informational,Non-branded,Non-local",English,"1532, 1502, 1481, 1203, 1037, 1035, 1011, 1004, 1007, 1164, 1379, 990, 1019, 991, 680, 581, 670, 604, 595, 600, 452, 400, 566, 602","613, 645, 570, 486, 472, 458, 449, 487, 492, 512, 513, 556, 576",Finance/Investing/Stocks and Bonds
6,intrinsic value formula,us,5,600,0.25,0.91,intrinsic value method,2026-03-03 06:51:50,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",1800,50,150,2015-09-14,"Informational,Non-branded,Non-local",English,"1042, 1241, 783, 681, 570, 568, 696, 1058, 1022, 833, 586, 825, 1024, 804, 597, 485, 414, 338, 585, 584, 460, 473, 511, 618","732, 711, 601, 443, 398, 381, 484, 677, 674, 672, 508, 614, 728",Finance/Investing/Stocks and Bonds
7,what does intrinsic value mean,us,27,400,0.02,0.35,intrinsic value,2026-03-08 10:19:00,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Top stories",500,1900,5400,2015-09-09,"Informational,Non-branded,Non-local",English,"393, 404, 307, 246, 269, 330, 383, 391, 365, 378, 538, 471, 444, 403, 367, 239, 241, 277, 463, 528, 419, 344, 387, 399","398, 402, 331, 271, 288, 319, 427, 431, 386, 364, 407, 392, 397",Finance/Investing
8,define intrinsic value,us,33,350,0.05,0.26,intrinsic value,2026-02-22 19:19:22,"AI Overview,Video preview,Thumbnail,People also ask,Sitelinks",600,2100,5700,2015-09-04,"Informational,Non-branded,Non-local",English,"550, 563, 454, 381, 392, 402, 489, 535, 500, 434, 667, 549, 450, 437, 369, 262, 318, 293, 436, 424, 347, 315, 354, 341","347, 344, 302, 246, 250, 281, 363, 386, 358, 326, 344, 333, 339",Finance/Investing
9,intrinsic vs extrinsic value,us,7,250,0.01,0.69,intrinsic vs extrinsic,2026-01-29 14:54:17,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview,Top stories",400,500,900,2015-09-24,"Informational,Non-branded,Non-local",English,"299, 315, 276, 226, 221, 222, 286, 283, 268, 272, 316, 274, 269, 268, 228, 217, 216, 189, 288, 281, 219, 249, 257, 284","264, 262, 241, 207, 184, 212, 301, 322, 272, 256, 272, 299, 279",Finance; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources; Reference/Humanities/Philosophy
10,intrinsic value of a person,us,5,250,,0.5,intrinsic values,2026-03-05 15:13:06,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",500,300,600,2017-03-21,"Informational,Non-branded,Non-local",English,"133, 160, 132, 89, 109, 138, 167, 136, 109, 115, 472, 452, 313, 316, 253, 172, 215, 213, 261, 318, 266, 257, 282, 286","276, 277, 258, 243, 252, 274, 286, 295, 267, 258, 283, 287, 276",People and Society/Social Issues and Advocacy/Human Rights and Liberties
11,nvda intrinsic value,us,7,200,1.70,,nvda intrinsic value,2026-03-11 00:10:23,"AI Overview,Thumbnail,Video preview,People also ask,Top stories",350,300,500,2018-03-26,"Informational,Branded,Non-local",English,"266, 182, 223, 382, 268, 339, 227, 149, 192, 221, 287, 282, 399, 366, 172, 134, 171, 145, 151, 114, 173, 125, 140, 159","153, 139, 126, 128, 116, 124, 102, 81, 85, 85, 102, 112, 114",Finance/Investing/Stocks and Bonds
12,amazon intrinsic value,us,2,200,,,amazon intrinsic value,2026-02-15 14:24:42,"AI Overview,People also ask,Video preview",400,300,400,2017-04-28,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
13,tesla intrinsic value,us,6,200,1.20,,tesla valuation,2026-03-09 10:33:14,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",400,450,700,2018-04-26,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
14,nvidia intrinsic value,us,3,200,1.70,,nvidia intrinsic value,2026-02-17 20:14:28,"AI Overview,Video preview,Thumbnail,People also ask,Top stories",600,90,90,2016-09-20,"Informational,Branded,Non-local",English,"333, 222, 275, 459, 331, 400, 276, 187, 228, 272, 347, 327, 537, 437, 202, 165, 203, 155, 176, 123, 195, 141, 152, 178","176, 154, 137, 140, 126, 134, 110, 85, 88, 88, 108, 119, 130",Finance/Investing/Stocks and Bonds
15,google intrinsic value,us,7,200,2.50,,google intrinsic value,2026-03-03 05:48:56,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",350,200,350,2016-01-09,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
16,intrinsic value of stock,us,7,200,0.70,0.82,how to calculate intrinsic value,2026-03-07 10:07:48,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview,Top stories",800,400,1000,2015-09-22,"Informational,Non-branded,Non-local",English,"433, 430, 333, 278, 274, 337, 306, 286, 324, 355, 346, 297, 281, 225, 235, 167, 181, 185, 196, 165, 171, 145, 182, 174","170, 154, 154, 134, 116, 123, 117, 132, 149, 145, 147, 140, 137",Finance/Investing/Stocks and Bonds
17,intrinsic value options,us,1,200,0.01,0.6,options pricing,2026-03-06 19:56:45,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Top stories",350,1100,1700,2016-01-20,"Informational,Non-branded,Non-local",English,"312, 312, 315, 257, 262, 252, 203, 255, 261, 260, 250, 257, 197, 252, 198, 199, 202, 202, 184, 211, 201, 157, 186, 196","205, 203, 200, 185, 200, 192, 172, 181, 181, 179, 183, 193, 202",Finance/Investing/Derivatives
18,intrinsic value vs extrinsic value,us,0,200,0.01,0.76,intrinsic vs extrinsic value options,2026-03-07 15:22:03,"AI Overview,Thumbnail,Video preview,People also ask,Discussions,Sitelinks",350,200,200,2015-10-02,"Informational,Non-branded,Non-local",English,"237, 248, 217, 188, 181, 186, 226, 232, 226, 221, 258, 230, 234, 219, 193, 173, 180, 151, 225, 233, 194, 185, 214, 244","223, 223, 208, 193, 184, 187, 242, 238, 215, 197, 230, 262, 239",Finance/Investing/Derivatives; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources; Reference/Humanities/Philosophy
