PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of inlinks dofollow,No. of inlinks nofollow,No. of href inlinks
20,https://migratingmammals.com/cost-of-living-index,Digital Nomad Cost of Living Index 2026,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/cruise-tracker,Cruise Tracker & Voyage Calculator,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/hurricane-melissa-tracker-live,Hurricane Melissa Tracker Live | Real-Time Path & Impact,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/hurricane-erin-tracker,Hurricane Erin Tracker 2025: Live Distance & ETA Calculator,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/how-to-use-a-flight-tracker,How to Use a Flight Tracker: A Complete Guide,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/airport-codes,Airport Code Lookup | Migrating Mammals,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/nomad-visa-index,Digital Nomad Visa Index 2025 — Every Remote Work Visa Compared,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/power-adapter,Travel Power Adapter Guide & Calculator | Migrating Mammals,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/guide-coworking,Coworking Spaces: How to Choose | Migrating Mammals,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/list-travel-apps,Essential Travel Apps | Migrating Mammals,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/cruise-ship-tracker,Cruise Ship Tracker & Voyage Calculator,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/language-phrases,Travel Phrases Cheat Sheet | Migrating Mammals,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://migratingmammals.com/google-flight-tracker,Google Flight Tracker & Route Analyzer,text/html; charset=utf-8,false,200,0,0,1,0,1
