Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,Hreflang attribute,Target final redirect URL,Target final redirect HTTP status code,Is source canonical,Is source noindex,Is target canonical,Is target noindex,Is link internal
Href link,false,https://siliconbased.dev/guide-ssh-keys,200,https://siliconbased.dev/cdn-cgi/l/email-protection,404,[email protected],,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/chatgpt-image-generator,200,https://siliconbased.dev/sites/siliconbased/2-hour-timer,404,Set a 2-Hour Timer for focused creative sessions,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/2-hour-timer,200,https://siliconbased.dev/sites/siliconbased/genshin-tier-list,404,Check out our comprehensive Genshin Impact Tier List,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/chatgpt-image-generator,200,https://siliconbased.dev/sites/siliconbased/genshin-tier-list,404,Check out our comprehensive Genshin Impact Tier List,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/genshin-tier-list,200,https://siliconbased.dev/sites/siliconbased/chatgpt-image-generator,404,Master AI Art with our ChatGPT Image Generator Guide,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/adobe-qr-code-generator,200,https://siliconbased.dev/sites/siliconbased/ama-citation-generator,404,AMA Citation Generator,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/ama-citation-generator,200,https://siliconbased.dev/sites/siliconbased/bing-ai-image-generator,404,Bing AI Image Generator,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/ama-citation-generator,200,https://siliconbased.dev/sites/siliconbased/adobe-qr-code-generator,404,Adobe QR Code Generator,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/genshin-tier-list,200,https://siliconbased.dev/sites/siliconbased/2-hour-timer,404,Set a 2-Hour Timer for your artifact farming sessions,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/freight-class-calculator,200,https://siliconbased.dev/sites/siliconbased/fractions-calculator,404,Fractions Calculator,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/fractions-calculator,200,https://siliconbased.dev/sites/siliconbased/freight-class-calculator,404,Freight Class Calculator,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/http-status-codes,200,https://siliconbased.dev/cdn-cgi/l/email-protection,404,[email protected],,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/bing-ai-image-generator,200,https://siliconbased.dev/sites/siliconbased/ama-citation-generator,404,AMA Citation Generator,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/adobe-qr-code-generator,200,https://siliconbased.dev/sites/siliconbased/bing-ai-image-generator,404,Bing AI Image Generator,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/guide-devops-complete,200,https://siliconbased.dev/cdn-cgi/l/email-protection,404,[email protected],,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/2-hour-timer,200,https://siliconbased.dev/sites/siliconbased/chatgpt-image-generator,404,Master AI Art with our ChatGPT Image Generator Guide,,,,true,false,true,false,true
Href link,false,https://siliconbased.dev/bing-ai-image-generator,200,https://siliconbased.dev/sites/siliconbased/adobe-qr-code-generator,404,Adobe QR Code Generator,,,,true,false,true,false,true
