PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of inlinks dofollow,No. of inlinks nofollow,No. of href inlinks
20,https://siliconbased.dev/guide-vim,Vim Cheat Sheet | Essential Commands & Interactive Practice,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/guide-seo-tools-complete,Technical SEO Tools for Developers (2026),text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/timestamp-converter,Timestamp Converter | Free Online Tool,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/chmod/750,chmod 750 (rwxr-x---) — Linux File Permissions Explained,text/html; charset=utf-8,false,200,0,2,1,0,1
20,https://siliconbased.dev/fractions-calculator,"Fractions Calculator: Add, Subtract, Multiply & Divide",text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/jwt-debugger,JWT Debugger & Decoder | Free Online Tool,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/jwt-decoder,"JWT Decoder: Decode, Inspect & Verify JSON Web Tokens Online",text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/readme-generator,README Generator | Free Online Tool,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/guide-prompting-jules,How to Prompt Google Jules for Research,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/binary-translator,Binary Translator: Convert Text to Binary Code Instantly,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/privacy-policy,Privacy Policy Generator | GDPR & CCPA Compliant,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/email-validator,Email Address Validator | Free Online Tool,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/list-static-hosting,"Best Free Static Hosting | Compare GitHub, Netlify, Vercel",text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/lorem-ipsum,Lorem Ipsum Generator | Free Online Tool,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/ascii-table,ASCII Reference Table | Free Interactive Tool,text/html; charset=utf-8,false,200,0,0,1,0,1
20,https://siliconbased.dev/markdown-preview,Markdown Live Preview | Free Online Editor & Viewer,text/html; charset=utf-8,false,200,0,0,1,0,1
